Title,Memory,Display,Camera,Battery,Processor,Selling_price,Cost_price,Rating,Discount
Redmi 8 (Onyx Black| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,8499,10999,4.4,22% off
Realme 5i (Forest Green| 64 GB)|,4 GB RAM | 64 GB ROM |,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,8999,10999,4.4,18% off
Realme 5i (Aqua Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,16.56 cm (6.52 inch) HD+ Display,12MP + 8MP + 2MP + 2MP | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 2 GHz Processor,8999,10999,4.4,18% off
Realme 5s (Crystal Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,HD+ Mini Drop Display,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 665 Processor,9999,11999,4.4,16% off
Redmi 7A (Matte Black| 32 GB)|,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,13.84 cm (5.45 inch) HD+ Display,12MP Rear Camera | 5MP Front Camera,4000 mAh Li-Polymer Battery,Qualcomm Snapdragon 439 Processor,5499,6999,4.3,21% off
Redmi 8A (Ocean Blue| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,6999,8999,4.4,22% off
Redmi Note 7 Pro (Neptune Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,9999,15999,4.5,37% off
Realme C2 (Diamond Black| 32 GB)|,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,5999,7999,4.4,25% off
Realme 5 (Crystal Blue| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 8MP + 2MP + 2MP Quad Camera | 13MP Front Camera,5000 mAH Battery,Qualcomm Snapdragon 665 2 GHz Processor,8499,10999,4.5,22% off
Realme 5 (Crystal Purple| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,16.51 cm (6.5 inch) HD+ Display,12MP + 8MP + 2MP + 2MP Quad Camera | 13MP Front Camera,5000 mAH Battery,Qualcomm Snapdragon 665 2 GHz Processor,8499,10999,4.5,22% off
Redmi 8A (Ocean Blue| 32 GB)|,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,6499,7999,4.4,18% off
Redmi 8A (Midnight Black| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,15.8 cm (6.22 inch) HD+ Display,12MP Rear Camera | 8MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 439 Processor,6999,8999,4.4,22% off
Realme C2 (Diamond Blue| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,6999,8999,4.3,22% off
I Kall K9 (Blue| 16 GB)|,2 GB RAM | 16 GB ROM |,15.24 cm (6 inch) Display,5MP Rear Camera,2800 mAh Battery,,3599,5999,3.6,40% off
Realme C2 (Diamond Ruby| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,6999,8999,4.3,22% off
Realme 5 Pro (Crystal Green| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4035 mAh Battery,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,11999,14999,4.5,20% off
Realme 5 Pro (Sparkling Blue| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4035 mAh Battery,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,11999,14999,4.5,20% off
Realme 5 Pro (Sparkling Blue| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4035 mAh Battery,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,12999,15999,4.5,18% off
Realme 5 Pro (Crystal Green| 64 GB)|,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP + 2MP + 2MP Quad Camera | 16MP Front Camera,4035 mAh Battery,Qualcomm Snapdragon SDM712 Octa Core 2.3 GHz Processor,12999,15999,4.5,18% off
I Kall K900 (Sky Blue| 64 GB)|,4 GB RAM | 64 GB ROM |,13.97 cm (5.5 inch) Display,8MP Rear Camera | 5MP Front Camera,3000 mAh Battery,,4499,7999,3.3,43% off
Redmi Note 7 Pro (Space Black| 64 GB)|,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,16.0 cm (6.3 inch) Full HD+ Display,48MP + 5MP | 13MP Front Camera,4000 mAh Li-polymer Battery,Qualcomm Snapdragon 675 Processor,9999,15999,4.5,37% off
Realme C2 (Diamond Black| 32 GB)|,3 GB RAM | 32 GB ROM | Expandable Upto 256 GB,15.49 cm (6.1 inch) HD+ Display,13MP + 2MP | 5MP Front Camera,4000 mAh Battery,MediaTek P22 Octa Core 2.0 GHz Processor,6999,8999,4.3,22% off
